species.code,family,genus,species,species.name,tree,woody,origin,pgf,height,sla,wood.dens,dispersal,fruit,seed,reproduction,lifehistory,pollination
acaunk,Acanthaceae,Unknown,sp.,Unknown sp.,no,no,n,E,na,207.18,na,L,U,4,s,p,h
act231,Lauraceae,Actinodaphne,sp. TFD231,Actinodaphne sp. TFD231,yes,yes,n,F,na,153.36,0.51,J,W,1,s,p,na
actglo,Lauraceae,Actinodaphne,glomerata,Actinodaphne glomerata,yes,yes,n,F,24,153.36,0.41,M,W,1,s,p,na
adecor,Passifloraceae,Adenia,cordifolia,Adenia cordifolia,no,yes,n,G,na,177.1,na,J,S,na,s,p,h
adisar1,Pentaphyllacaceae,Adinandra,cf. sarosanthera,Adinandra cf. sarosanthera,yes,yes,n,F,na,175.22,0.53,J,S,4,s,p,na
aestri1,Gesneriaceae,Aeschynanthus,cf. tricolor,Aeschynanthus cf. tricolor,no,no,n,D,na,206.25,na,N,S,4,s,p,na
age044,Connaraceae,Agelaea,sp. TFD044,Agelaea sp. TFD044,no,yes,n,G,na,172.81,na,N,X,1,s,p,d
agebor,Connaraceae,Agelaea,borneensis,Agelaea borneensis,no,yes,n,G,na,172.25,na,N,X,1,s,p,d
agecon,Compositae,Ageratum,conyzoides,Ageratum conyzoides,no,no,e,C,1,884.32,na,Q,R,1,s,ap,h
agetri,Connaraceae,Agelaea,trinervis,Agelaea trinervis,no,yes,n,G,na,141.55,na,N,X,1,s,p,d
agl115,Meliaceae,Aglaia,sp. TFD115,Aglaia sp. TFD115,yes,yes,n,F,na,167.39,0.67,J,S,2,s,p,i
agl251,Araceae,Aglaonema,sp. TFD251,Schismatoglottis sp. TFD027,no,no,n,C,na,223.2,na,J,S,1,s,p,j
aglarg,Meliaceae,Aglaia,argentea,Aglaia argentea,yes,yes,n,F,30,167.39,0.63,O,S,2,s,p,i
aglbec,Meliaceae,Aglaia,beccarii,Aglaia beccarii,yes,yes,n,F,25,167.39,0.67,J,S,2,s,p,i
aglelle,Meliaceae,Aglaia,elliptica var. elliptica,Aglaia elliptica var. elliptica,yes,yes,n,F,40,167.39,0.66,O,S,2,s,p,i
aglellel,Meliaceae,Aglaia,elliptica ssp. elliptica,Aglaia elliptica ssp. elliptica,yes,yes,n,F,40,167.39,0.66,O,S,2,s,p,i
aglkor,Meliaceae,Aglaia,korthalsii,Aglaia korthalsii,yes,yes,n,F,26,167.39,0.67,O,S,2,s,p,d
agllax,Meliaceae,Aglaia,laxiflora,Aglaia laxiflora,yes,yes,n,F,27,167.39,0.67,O,S,2,s,p,i
aglleu,Meliaceae,Aglaia,leucophylla,Aglaia leucophylla,yes,yes,n,F,27,167.39,0.72,O,S,2,s,p,i
aglluz,Meliaceae,Aglaia,luzoniensis,Aglaia luzoniensis,yes,yes,n,F,10,167.39,0.65,O,S,2,s,p,i
aglodo,Meliaceae,Aglaia,odoratissima,Aglaia odoratissima,yes,yes,n,F,25,167.39,0.72,O,S,2,s,p,i
aglodo1,Meliaceae,Aglaia,cf. odoratissima,Aglaia cf. odoratissima,yes,yes,n,F,25,167.39,0.72,O,S,2,s,p,i
agloli,Meliaceae,Aglaia,oligophylla,Aglaia oligophylla,yes,yes,n,F,20,167.39,0.67,O,S,2,s,p,i
aglpac,Meliaceae,Aglaia,pachyphylla,Aglaia pachyphylla,yes,yes,n,F,43,167.39,0.69,O,S,2,s,p,i
aglruf,Meliaceae,Aglaia,rufinervis,Aglaia rufinervis,yes,yes,n,F,na,167.39,0.67,O,S,2,s,p,i
aglsil,Meliaceae,Aglaia,silvestris,Aglaia silvestris,yes,yes,n,F,30,167.39,0.67,O,S,2,s,p,i
agltom,Meliaceae,Aglaia,tomentosa,Aglaia tomentosa,yes,yes,n,F,20,167.39,0.68,O,S,2,s,p,i
agltomt,Meliaceae,Aglaia,tomentosa var. tomentosa,Aglaia tomentosa var. tomentosa,yes,yes,n,F,20,167.39,0.68,O,S,2,s,p,i
agltomto,Meliaceae,Aglaia,tomentosa ssp. tomentosa,Aglaia tomentosa ssp. tomentosa,yes,yes,n,F,20,167.39,0.68,O,S,2,s,p,i
agrlon,Euphorbiaceae,Agrostistachys,longifolia,Agrostistachys longifolia,yes,yes,n,F,9,183.13,0.82,na,U,4,s,p,d
ala048,Cornaceae,Alangium,sp. TFD048,Alangium sp. TFD048,yes,yes,n,F,na,144.02,0.73,J,W,2,s,p,d
alajave,Cornaceae,Alangium,javanicum var. ebenaceaum,Alangium javanicum var. ebenaceaum,yes,yes,n,F,40,144.02,0.73,J,W,2,s,p,d
alajavj,Cornaceae,Alangium,javanicum var. javanicum,Alangium javanicum var. javanicum,yes,yes,n,F,40,151.14,0.73,J,W,2,s,p,d
alajavt,Cornaceae,Alangium,javanicum var. tutela,Alangium javanicum var. tutela,yes,yes,n,F,40,136.9,0.73,J,W,2,s,p,d
allcob,Sapindaceae,Allophylus,cobbe,Allophylus cobbe,yes,yes,n,F,25,149.06,0.39,J,W,1,s,p,e
alo023,Araceae,Alocasia,sp. TFD023,Alocasia sp. TFD023,no,no,n,C,na,223.2,na,J,S,2,s,p,i
alowon1,Araceae,Alocasia,cf. wongii,Alocasia sp. TFD023,no,no,n,C,1,223.2,na,J,S,2,s,p,i
alsobl,Lauraceae,Alseodaphne,oblanceolata,Alseodaphne oblanceolata,yes,yes,n,F,18,142.1,0.43,J,W,1,s,p,d
alyrei,Apocynaceae,Alyxia,reinwardtii,Alyxia reinwardtii,no,yes,n,G,na,84.4,na,N,W,1,sv,p,h
ami042,Commelinaceae,Amischotolype,sp. TFD042,Amischotolype sp. TFD042,no,no,n,C,1,150.9,na,na,U,3,s,p,i
amigla,Commelinaceae,Amischotolype,glabrata,Amischotolype glabrata,no,no,n,C,1,150.9,na,na,U,3,s,p,i
amp180,Thelypteridaceae,Amphineuron,sp. TFD180,Amphineuron sp. TFD180,no,no,n,A,1,172.31,na,Q,na,na,v,na,m
amp191,Vitaceae,Ampelocissus,sp. TFD191,Ampelocissus sp. TFD191,no,yes,n,G,na,442.62,na,J,S,2,s,p,h
amplow,Vitaceae,Ampelocissus,lowii,Ampelocissus lowii,no,yes,n,G,na,442.62,na,J,S,2,s,p,h
ampoch,Vitaceae,Ampelocissus,ochracea,Ampelocissus ochracea,no,yes,n,G,na,442.62,na,J,S,2,s,p,h
amymed,Araceae,Amydrium,medium,Amydrium medium,no,no,n,D,na,223.2,na,J,S,1,s,p,h
anaunk,Anacardiaceae,Unknown,sp.,Unknown sp.,yes,yes,n,F,na,112.83,na,na,W,1,s,p,na
ani057,Dipterocarpaceae,Anisoptera,sp. TFD057,Anisoptera sp. TFD057,yes,yes,n,F,na,172.08,0.55,Q,Z,1,s,p,h
anidis,Anisophylleaceae,Anisophyllea,disticha,Anisophyllea disticha,yes,yes,n,F,7,251.13,0.67,N,W,1,s,p,na
annunk,Annonaceae,Unknown,sp.,Unknown sp.,yes,yes,n,F,na,168.03,na,J,na,na,s,p,h
ant132,Phyllanthaceae,Antidesma,sp. TFD132,Antidesma sp. TFD132,yes,yes,n,F,na,130.14,0.63,J,W,1,s,p,h
antbanb,Phyllanthaceae,Antidesma,banguensis var. banguensis,Antidesma banguensis var. banguensis,yes,yes,n,F,na,130.14,0.63,J,W,1,s,p,h
antneu1,Phyllanthaceae,Antidesma,cf. neurocarpum,Antidesma cf. neurocarpum,yes,yes,n,F,11,130.14,0.63,J,W,1,s,p,h
anttom,Phyllanthaceae,Antidesma,tomentosum,Antidesma tomentosum,yes,yes,n,F,17,130.14,0.63,J,W,1,s,p,h
aph116,Meliaceae,Aphanamixis,sp. TFD116,Aphanamixis sp. TFD116,yes,yes,n,F,7,167.39,0.55,na,U,2,s,p,h
aphbor,Meliaceae,Aphanamixis,borneensis,Aphanamixis borneensis,yes,yes,n,F,7,167.39,0.55,na,U,2,s,p,h
apo207,Phyllanthaceae,Aporosa,sp. TFD207,Aporosa sp. TFD207,yes,yes,n,F,na,197.1,0.62,J,U,2,s,p,h
apoacu,Phyllanthaceae,Aporosa,acuminatissima,Aporosa acuminatissima,yes,yes,n,F,17,197.1,0.62,J,U,2,s,p,h
apofru,Phyllanthaceae,Aporosa,frutescens,Aporosa frutescens,yes,yes,n,F,18,197.1,0.62,J,U,2,s,p,h
apogra,Phyllanthaceae,Aporosa,grandistipula,Aporosa grandistipula,yes,yes,n,F,24,197.1,0.62,J,U,2,s,p,h
apogra1,Phyllanthaceae,Aporosa,cf. grandistipula,Aporosa cf. grandistipula,yes,yes,n,F,24,197.1,0.62,J,U,2,s,p,h
aposub,Phyllanthaceae,Aporosa,subcaudata,Aporosa subcaudata,yes,yes,n,F,18,197.1,0.62,J,U,2,s,p,h
apounk,Apocynaceae,Unknown,sp.,Unknown sp.,na,na,n,na,na,135.5,na,na,na,na,na,na,na
araunk,Araceae,Unknown,sp.,Unknown sp.,no,no,n,D,na,223.2,na,J,S,na,s,p,h
arcclyc,Leguminosae,Archidendron,Clypearia var. casai,Archidendron Clypearia var. casai,yes,yes,n,F,23,304.91,0.32,na,Y,4,s,p,d
ard144,Primulaceae,Ardisia,sp. TFD144,Ardisia sp. TFD144,yes,yes,n,F,na,135.06,0.57,J,W,1,s,p,f
ardell,Primulaceae,Ardisia,elliptica,Ardisia elliptica,yes,yes,n,F,5,135.06,0.57,J,W,1,s,p,f
ardfor,Primulaceae,Ardisia,forbesii,Ardisia forbesii,yes,yes,n,F,13,135.06,0.57,J,W,1,s,p,f
ardfor1,Primulaceae,Ardisia,cf. forbesii,Ardisia cf. forbesii,yes,yes,n,F,13,135.06,0.57,J,W,1,s,p,f
ardlan,Primulaceae,Ardisia,lanceolata,Ardisia lanceolata,yes,yes,n,F,8,135.06,0.44,J,W,1,s,p,f
ardooc1,Primulaceae,Ardisia,cf. oocarpa,Ardisia cf. oocarpa,yes,yes,n,F,na,135.06,0.57,J,W,1,s,p,f
arimin,Aristolochiaceae,Aristolochia,minutiflora,Aristolochia minutiflora,no,no,n,D,na,167.95,na,K,U,4,s,p,j
aripap,Aristolochiaceae,Aristolochia,papillifolia,Aristolochia papillifolia,no,no,n,D,na,167.95,na,K,U,4,s,p,j
art011,Annonaceae,Artabotrys,sp. TFD011,Artabotrys sp. TFD011,no,yes,n,G,na,225.52,na,J,T,2,s,p,e
art216,Moraceae,Artocarpus,sp. TFD216,Artocarpus sp. TFD216,yes,yes,n,F,na,151.51,0.48,O,W,4,s,p,h
artani,Moraceae,Artocarpus,anisophyllus,Artocarpus anisophyllus,yes,yes,n,F,45,151.51,0.61,O,W,4,s,p,h
artani1,Moraceae,Artocarpus,cf. anisophyllus,Artocarpus cf. anisophyllus,yes,yes,n,F,45,151.51,0.61,O,W,4,s,p,h
artcos,Annonaceae,Artabotrys,costatus,Artabotrys costatus,no,yes,n,G,na,225.52,na,N,T,2,s,p,e
artros,Annonaceae,Artabotrys,roseus,Artabotrys roseus,no,yes,n,G,na,225.52,na,N,T,2,s,p,e
artsua,Annonaceae,Artabotrys,suaveolens,Artabotrys suaveolens,no,yes,n,G,na,225.52,na,J,T,2,s,p,e
artsua1,Annonaceae,Artabotrys,cf. suaveolens,Artabotrys cf. suaveolens,no,yes,n,G,na,225.52,na,J,T,2,s,p,e
asp031,Aspleniaceae,Asplenium,sp. TFD031,Asplenium sp. TFD031,no,no,n,A,1,172.31,na,Q,na,na,v,p,m
aspnid1,Aspleniaceae,Asplenium,cf. nidus,Asplenium cf. nidus,no,no,n,A,1,172.31,na,Q,na,na,v,p,m
asyint,Acanthaceae,Asystasia,intrusa,Asystasia intrusa,no,no,e,D,1,207.18,na,L,U,2,sv,p,d
aturac,Chrysobalanaceae,Atuna,racemosa,Atuna racemosa,yes,yes,n,F,35,197.81,0.67,J,W,1,s,p,na
axocom,Poaceae,Axonopus,compressus,Axonopus compressus,no,no,e,B,0.5,172.92,na,Q,V,na,sv,p,p
bac133,Phyllanthaceae,Baccaurea,sp. TFD133,Baccaurea sp. TFD133,yes,yes,n,F,na,91.41,0.62,J,U,3,s,p,i
bacsti,Phyllanthaceae,Baccaurea,stipulata,Baccaurea stipulata,yes,yes,n,F,15,114.27,0.79,J,U,3,s,p,i
bacsti1,Phyllanthaceae,Baccaurea,cf.stipulata,Baccaurea cf.stipulata,yes,yes,n,F,15,114.27,0.79,J,U,3,s,p,i
bactet,Phyllanthaceae,Baccaurea,tetranda,Baccaurea tetranda,yes,yes,n,F,20,68.55,0.79,J,U,3,s,p,i
bactet1,Phyllanthaceae,Baccaurea,cf. tetrandra,Baccaurea cf. tetrandra,yes,yes,n,F,20,68.55,0.79,J,U,3,s,p,i
barlan,Lecythidaceae,Barringtonia,lanceolata,Barringtonia lanceolata,yes,yes,n,F,30,175.22,0.49,na,U,1,s,p,k
bau088,Leguminosae,Bauhinia,sp. TFD088,Bauhinia sp. TFD088,no,yes,n,G,na,268.74,0.61,L,Y,3,s,p,g
baubasb,Leguminosae,Bauhinia,bassacensis var. backeri,Bauhinia bassacensis var. backeri,no,yes,n,G,na,272.1,0.61,L,Y,3,s,p,g
baudip,Leguminosae,Bauhinia,diptera,Bauhinia diptera,no,yes,n,G,na,248.59,0.61,L,Y,3,s,p,g
bauend1,Leguminosae,Bauhinia,cf. endertii,Bauhinia cf. endertii,no,yes,n,G,na,268.74,0.61,L,Y,3,s,p,g
bauint1i,Leguminosae,Bauhinia,cf. integrifolia var. integrifolia,Bauhinia cf. integrifolia var. integrifolia,no,yes,n,G,na,268.74,0.61,L,Y,3,s,p,g
bauintc,Leguminosae,Bauhinia,integrifolia ssp. cumingiana,Bauhinia intergrifolia ssp. cumingiana,no,yes,n,G,na,268.74,0.61,L,Y,3,s,p,g
baukoc,Leguminosae,Bauhinia,kockiana,Bauhinia kockiana,no,yes,n,G,na,318.36,0.61,L,Y,3,s,p,g
baukocb,Leguminosae,Bauhinia,kockiana var. beccarii,Bauhinia kockiana var. beccarii,no,yes,n,G,na,239.29,0.61,L,Y,3,s,p,g
baukock,Leguminosae,Bauhinia,kockiana var. kockiana,Bauhinia kockiana var. kockiana,no,yes,n,G,na,278.82,0.61,L,Y,3,s,p,g
baukocs,Leguminosae,Bauhinia,kockiana var. scarlatina,Bauhinia kockiana var. scarlatina,no,yes,n,G,na,239.29,0.61,L,Y,3,s,p,g
bausems,Leguminosae,Bauhinia,semibifida var. semibifida,Bauhinia semibifida var. semibifida,no,yes,n,G,na,268.74,0.61,L,Y,3,s,p,g
beg032,Begoniaceae,Begonia,sp. TFD032,Begonia sp. TFD032,no,no,n,C,0.5,251.13,na,N,U,4,s,p,i
begber1,Begoniaceae,Begonia,cf. berhamanii,Begonia cf. berhamanii,no,no,n,C,0.5,251.13,na,N,U,4,s,p,i
begkee,Begoniaceae,Begonia,keeana,Begonia keeana,no,no,n,C,0.5,251.13,na,N,U,4,s,p,i
begunk,Begoniaceae,Unknown,sp.,Unknown sp.,no,no,n,C,0.5,251.13,na,N,U,4,s,p,i
bei083,Lauraceae,Beilschmiedia,sp. TFD083,Beilschmiedia sp. TFD083,yes,yes,n,F,na,94.1,0.5,J,W,1,s,p,d
blebor,Blechnaceae,Blechnum,borneense,Blechnum borneense,no,no,n,A,2,172.31,na,Q,na,na,v,p,m
bleori,Blechnaceae,Blechnum,orientale,Blechnum orientale,no,no,n,A,2,172.31,na,Q,na,na,v,p,m
blukur,Euphorbiaceae,Blumeodendron,kurzii,Blumeodendron kurzii,yes,yes,n,F,50,89.47,0.53,J,U,1,s,p,d
blurip,Compositae,Blumea,riparia,Blumea riparia,no,no,n,E,2,179.56,na,Q,R,na,s,p,h
boe200,Zingiberaceae,Boesenbergia,sp. TFD200,Boesenbergia sp. TFD200,no,no,n,C,na,332.82,na,na,U,na,sv,na,d
bolhet,Lomariopsidaceae,Bolbitis,heteroclita,Bolbitis heteroclita,no,no,n,A,0.5,172.31,na,Q,na,na,v,p,m
bolhet1,Lomariopsidaceae,Bolbitis,cf. heteroclita,Bolbitis cf. heteroclita,no,no,n,A,0.5,172.31,na,Q,na,na,v,p,m
bri135,Phyllanthaceae,Bridelia,sp. TFD135,Bridelia sp. TFD135,yes,yes,n,F,na,143.64,0.57,J,W,2,s,p,h
brigla1,Phyllanthaceae,Bridelia,cf. glauca,Bridelia cf. glauca,yes,yes,n,F,30,143.64,0.44,J,W,2,s,p,h
bripen,Phyllanthaceae,Bridelia,penangiana,Bridelia penangiana,yes,yes,n,F,na,143.64,0.47,J,W,2,s,p,h
bripen1,Phyllanthaceae,Bridelia,cf. penangiana,Bridelia cf. penangiana,yes,yes,n,F,na,143.64,0.47,J,W,2,s,p,h
bropel,Malvaceae,Brownlowia,peltata,Brownlowia peltata,yes,yes,n,F,30,252.44,0.47,P,Z,1,s,p,h
buc009,Anacardiaceae,Buchanania,sp. TFD009,Buchanania sp. TFD009,yes,yes,n,F,na,178.82,0.41,J,W,1,s,p,i
bucses,Anacardiaceae,Buchanania,sessilifolia,Buchanania sessilifolia,yes,yes,n,F,42,178.82,0.43,J,W,1,s,p,i
byt102,Malvaceae,Byttneria,sp. TFD102,Byttneria sp. TFD102,no,yes,n,G,na,173.39,na,na,U,1,s,p,h
bytrei,Malvaceae,Byttneria,reinwardtii,Byttneria reinwardtii,no,yes,n,G,na,173.39,na,na,U,1,s,p,h
bytrei1,Malvaceae,Byttneria,cf. reinwardtii,Byttneria cf. reinwardtii,no,yes,n,G,na,173.39,na,na,U,1,s,p,h
cae089,Leguminosae,Caesalpinia,sp. TFD089,Caesalpinia sp. TFD089,no,yes,n,G,na,304.91,0.83,na,X,na,s,p,d
caelat,Leguminosae,Caesalpinia,latisiliqua,Caesalpinia latisiliqua,no,yes,n,G,na,304.91,0.83,na,X,3,s,p,d
caeopp,Leguminosae,Caesalpinia,oppositifolia,Caesalpinia oppositifolia,no,yes,n,G,na,304.91,0.83,na,X,na,s,p,d
caepar,Leguminosae,Caesalpinia,parviflora,Caesalpinia parviflora,no,yes,n,G,na,304.91,0.83,na,X,na,s,p,d
caepar1,Leguminosae,Caesalpinia,cf. parviflora,Caesalpinia cf. parviflora,no,yes,n,G,na,304.91,0.83,na,X,na,s,p,d
cal036,Calophyllaceae,Calophyllum,sp. TFD036,Calophyllum sp. TFD036,yes,yes,n,F,na,141.03,0.55,J,S,1,s,p,d
cal079,Lamiaceae,Callicarpa,sp. TFD079,Callicarpa sp. TFD079,yes,yes,n,F,na,233.28,0.35,N,W,2,s,p,d
calbla,Calophyllaceae,Calophyllum,blancoi,Calophyllum blancoi,yes,yes,n,F,40,141.03,0.46,J,S,1,s,p,d
calcae,Arecaceae,Calamus,caesius,Calamus caesius,no,yes,n,G,na,223.2,na,na,na,1,s,p,h
callon,Lamiaceae,Callicarpa,longifolia,Callicarpa longifolia,yes,yes,n,F,6,282.06,0.35,N,W,2,s,p,d
calmuc,Leguminosae,Calopogonium,mucunoides,Calopogonium mucunoides,no,no,e,D,0.5,310.74,na,J,Y,3,s,p,m
calnie,Leguminosae,Callerya,nieuwenhuisii,Callerya nieuwenhuisii,no,yes,n,G,na,304.91,na,na,Y,3,s,p,d
calnod,Calophyllaceae,Calophyllum,nodosum,Calophyllum nodosum,yes,yes,n,F,35,141.03,0.55,J,S,1,s,p,d
calplu,Lamiaceae,Callicarpa,plumosa,Callicarpa plumosa,yes,yes,n,F,6,142.19,0.35,N,W,2,s,p,d
can035,Burseraceae,Canarium,sp. TFD035,Canarium sp. TFD035,yes,yes,n,F,na,154.17,0.53,J,W,2,s,p,h
cancon,Rubiaceae,Canthium,confertum,Canthium confertum,yes,yes,n,F,13,131.69,0.6,na,W,1,s,p,h
canden,Burseraceae,Canarium,denticulatum,Canarium denticulatum,yes,yes,n,F,50,154.17,0.53,J,W,2,s,p,h
carbra,Rhizophoraceae,Carallia,brachiata,Carallia brachiata,yes,yes,n,F,35,275.36,0.68,J,W,1,s,p,h
celunk,Celastraceae,Unknown,sp.,Unknown sp.,yes,yes,n,F,na,134.81,na,na,na,na,s,p,na
cen140,Poaceae,Centotheca,sp. TFD140,Centotheca sp. TFD140,no,no,n,B,0.5,172.92,na,Q,V,na,na,na,p
cenpub,Leguminosae,Centrosema,pubescens,Centrosema pubescens,no,no,e,D,2,304.91,na,na,Y,3,s,p,h
cepbec,Euphorbiaceae,Cephalomappa,beccariana,Cephalomappa beccariana,yes,yes,n,F,na,181.76,0.51,na,U,2,s,p,h
chi218,Oleaceae,Chionanthus,sp. TFD218,Chionanthus sp. TFD218,yes,yes,n,F,na,101.76,0.61,J,W,1,s,p,h
chi236,Meliaceae,Chisocheton,sp. TFD236,Chisocheton sp. TFD236,yes,yes,n,F,na,167.39,0.5,N,U,3,s,p,i
chicer,Meliaceae,Chisocheton,ceramicus,Chisocheton ceramicus,yes,yes,n,F,30,167.39,0.45,N,U,2,s,p,i
chicur,Oleaceae,Chionanthus,curvicarpus,Chionanthus curvicarpus,yes,yes,n,F,23,101.76,0.61,J,W,1,s,p,h
chipat,Meliaceae,Chisocheton,patens,Chisocheton patens,yes,yes,n,F,35,167.39,0.48,N,U,2,s,p,i
chipen1p,Meliaceae,Chisocheton,cf. pentandrus ssp. pancijugus,Chisocheton cf. pentandrus ssp. pancijugus,yes,yes,n,F,40,167.39,0.51,N,U,2,s,p,i
chipub,Oleaceae,Chionanthus,pubicalyx,Chionanthus pubicalyx,yes,yes,n,F,40,104.2,0.61,J,W,1,s,p,h
chlere,Chloranthaceae,Chloranthus,erectus,Chloranthus erectus,no,no,n,E,2,208.3,na,N,W,na,s,p,h
chr181,Thelypteridaceae,Christella,sp. TFD181,Christella sp. TFD181,no,no,n,A,1,172.31,na,Q,na,na,v,na,m
chrcon,Thelypteridaceae,Christella,contiguus,Christella contiguus,no,no,n,A,1,172.31,na,Q,na,na,v,na,m
chrodo,Compositae,Chromolaena,odorata,Chromolaena odorata,no,no,e,D,2,957.94,na,Q,R,1,sv,p,g
cis193,Vitaceae,Cissus,sp. TFD193,Cissus sp. TFD193,no,yes,n,G,na,649.83,na,J,S,2,s,p,h
cisang,Vitaceae,Cissus,angustata,Cissus angustata,no,yes,n,G,na,649.83,na,J,S,2,s,p,h
cishas,Vitaceae,Cissus,hastata,Cissus hastata,no,yes,n,G,na,649.83,na,J,S,1,s,p,h
claexc,Rutaceae,Clausena,excavata,Clausena excavata,yes,yes,n,F,15,134.47,0.48,J,S,1,s,p,h
cle065,Phyllanthaceae,Cleistanthus,sp. TFD065,Cleistanthus sp. TFD065,yes,yes,n,F,na,178.22,0.58,J,U,2,s,p,d
clemyr,Phyllanthaceae,Cleistanthus,myrianthus,Cleistanthus myrianthus,yes,yes,n,F,16,178.22,0.54,J,U,2,s,p,d
clemyr1,Phyllanthaceae,Cleistanthus,cf. myrianthus,Cleistanthus cf. myrianthus,yes,yes,n,F,16,178.22,0.54,J,U,2,s,p,d
clepod,Phyllanthaceae,Cleistanthus,podopyxis,Cleistanthus podopyxis,yes,yes,n,F,na,178.22,0.58,J,U,2,s,p,d
clepod1,Phyllanthaceae,Cleistanthus,cf. podopyxis,Cleistanthus cf. podopyxis,yes,yes,n,F,na,178.22,0.58,J,U,2,s,p,d
cleven,Phyllanthaceae,Cleistanthus,venosus,Cleistanthus venosus,yes,yes,n,F,na,178.22,0.58,J,U,2,s,p,d
clihir,Melastomataceae,Clidemia,hirta,Clidemia hirta,no,no,e,E,3,247.98,na,J,S,4,sv,p,d
